Name,Links,Price (CAD)
PCB,https://jlcpcb.com/,$6.66
E-Paper Screen,https://www.aliexpress.com/item/1005007133350270.html,$30.45
Ferrite Magnets,https://www.aliexpress.com/item/1005008858265927.html,$11.24
Fake Pico,https://www.aliexpress.com/item/1005005617180169.html,$3.07
Number Pad,https://www.aliexpress.com/item/1005009455766218.html,$2.14
4x 18650 12000mAh,https://www.aliexpress.com/item/1005009903616172.html,$39.40
TP4056 JST USB-C Module,https://www.aliexpress.com/item/1005006943878636.html,$2.62
Voltage Booster,https://www.aliexpress.com/item/1005007385896399.html,$3.48
Right-Angle Headers,https://www.aliexpress.com/item/1005006795400618.html,$4.07
ESP32 CAM w/ Flasher,https://www.aliexpress.com/item/1005006137530316.html,$13.52
M3x6mm with nut,https://www.aliexpress.com/item/32799844538.html,$3.31
Heatset Inserts (M3, 5mm OD, 10mm length),https://www.aliexpress.com/item/1005003582355741.html,$3.93
Subtotal,N/A,$123.89
Total (After Aliexpress Discounts subject to change),N/A,CAD$90.58
USD Total,N/A,USD$64.76
